Title,Description
Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home."
PAPOTA,"This movie follows Ca7riel and Paco during their days after the Tiny Desk. Gymbaland will offer them the dream of their lives, but they will preserve their friendship."
The First Slam Dunk,"Shohoku's “speedster” and point guard, Ryota Miyagi, always plays with brains and lightning speed, running circles around his opponents while feigning composure. In his second year of high school, Ryota plays with the Shohoku High School basketball team along with Sakuragi, Rukawa, Akagi, and Mitsui as they take the stage at the Inter-High School National Championship. And now, they are on the brink of challenging the reigning champions, Sannoh Kogyo High School."
Once Upon a Time in Northern Ireland,"Twenty-five years on from a peace agreement being reached, Once Upon a Time in Northern Ireland shares intimate, unheard testimonies from all sides of the conflict."
Harry Styles at the BBC,"The BBC has supported Harry since the beginning of his career as a solo artist and his time in One Direction. In a BBC Music exclusive, Harry Styles performs new tracks from his number one debut album as a solo artist, alongside covers of classic songs. He's accompanied by his band and performs in front of a live studio audience. Nick Grimshaw talks to Harry about his extraordinary career in music to date, his future ambitions and his debut acting role in Dunkirk. Harry and Grimmy also have some fun with some very special friends as they take time away from the studio to spend a day out in Manchester."
Mobile Suit Gundam 0080: War in the Pocket,"In the final days of the One Year War, a Zeon special forces group infiltrates a colony to gather information on a new Gundam unit. Alfred Izuhara, a 10-year-old student, befriends Zeon rookie pilot Bernie Wiseman during a brief mobile suit combat. Meanwhile, Al meets up with Christina MacKenzie, his former neighbor and babysitter. Little does he know that not only is Christina a member of the Earth Federation, she's the test pilot of the new Gundam NT-4 prototype."
The Face of Another,"A businessman with a disfigured face obtains a lifelike mask from his new doctor, but the mask starts altering his personality and causing him to question his identity."
Sweet Smell of Success,"New York City newspaper writer J.J. Hunsecker holds considerable sway over public opinion with his Broadway column, but one thing that he can't control is his younger sister, Susan, who is in a relationship with aspiring jazz guitarist Steve Dallas. Hunsecker strongly disapproves of the romance and recruits publicist Sidney Falco to find a way to split the couple, no matter how ruthless the method."
The Third Man,"In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Major Calloway, and falling head-over-heels for Harry's grief-stricken lover, Anna."
Anatomy of a Murder,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret."
No One Will Miss Us,"It's the '90s, and five losers run an illegal business at their high school. They sell homework and assignments to their classmates. The advantage is that no one ever suspects the nerds. Their business brings them money and popularity. But hormones and an unexpected death threaten to ruin everything. If the business collapses, their futures and their friendships are at risk."
Scotch Mist: A Film with Radiohead in It,"Radiohead plays songs from their album In Rainbows for a webcast broadcast on New Years Eve. The film was made by Radiohead, Nigel Godrich, Adam Buxton, Garth Jennings, Stanley Donwood, Ric Jerrom, Hugo Nicolson and Dan Grech-Marguerat."
Gaga Chromatica Ball,"In front of a sold-out crowd of 52,000 people, Lady Gaga delivers a career-defining performance at Los Angeles's Dodger Stadium during her 2022 Chromatica Ball Tour."
The Grand Budapest Hotel,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century."
Samurai X: Trust & Betrayal,"In the era of Japan's Meiji Restoration, an assassin regains his humanity."
The New Land,"A Swedish immigrant family struggles to adapt to their new life on the American frontier during the second half of the 19th century amidst civil war, native uprising and the lure of gold in California."
